fg_product_code,fg_type,fg_name,fg_product_sys_id,input_product_code,input_type,input_product_sys_id,ratio,unit_cost_dipakai_engine,unit_cost_seharusnya,status_cost_hulu,understatement_baris
CSTPTY2606005678,PTY,PTY 300/96/TBL/BR/NIM/HSSH/N/1/S,33735,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606003853,PTY,PTY 300/96/TBL/BR/NI/LSDH/N/4/SSSS,32197,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606005819,PTY,PTY 300/96/TBL/BR/LIM/DH/N/4/SSSS,33884,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606001672,PTY,PTY 300/96/TBL/BR/NI/SH/N/1/Z,9559,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606005844,PTY,PTY 300/96/TBL/BR/NI/LSDH/N/1/S,33909,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606006096,PTY,PTY 300/96/TBL/BR/LIM/DH/N/2/SS,34161,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606004023,PTY,PTY 300/96/TBL/BR/HIM/DH/N/1/Z,32367,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606005921,PTY,PTY 300/96/RND/UV-BR/LIM/SH/N/1/S,33986,CSTPOY2606003739,POY,3826,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606004019,PTY,PTY 300/96/TBL/BR/IM/DH/N/1/Z,32363,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606006098,PTY,PTY 300/96/TBL/BR/LIM/DH/N/3/ZSZ,34163,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606006109,PTY,PTY 300/96/TBL/BR/HIM/LSDH/N/4/SSSS,34174,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606002482,PTY,PTY 300/96/TBL/BR/SIM/LSDH/N/4/SSSS,10369,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTATY2606000247,ATY,ATY 900/288/TBL/BR/NIM/DH/N/1/Z,23444,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTTTY2606000863,TTY,TTY 1200/384-100/TBL/BR/NIM/DH/N/1/S,35451,CSTPTY2606002147,PTY,10034,1,1,1.321519,CALCULATED,0.321519
CSTTTY2606000313,TTY,TTY 1200/384-150/TBL/BR/NI/SH/N/1/S,35880,CSTPTY2606002147,PTY,10034,1,1,1.321519,CALCULATED,0.321519
CSTTTY2606001008,TTY,TTY 1200/384-80/TBL/BR/NIM/DH/N/1/S,35596,CSTPTY2606002147,PTY,10034,1,1,1.321519,CALCULATED,0.321519
CSTTTY2606000648,TTY,TTY 1200/384-110/TBL/BR/NI/SH/T5/1/S/HUSKY,35219,CSTPTY2606002147,PTY,10034,1,1,1.321519,CALCULATED,0.321519
CSTTCY2606000253,TCY,TCY 1200/576-250/RND/SD/LIM/DH/N/1/Z,34743,CSTPTY2606005704,PTY,33761,1,1,1.321481,CALCULATED,0.321481
CSTPTY2606004343,PTY,PTY 240/108/TBL/BBR/LIM/DH/N/2/SS,32687,CSTPOY2606003455,POY,3542,1,1,1.321301,CALCULATED,0.321301
CSTPTY2606006361,PTY,PTY 300/48/RND/BR/LIM/DH/N/4/Z,34426,CSTPOY2606003602,POY,3689,1,1,1.321103,CALCULATED,0.321103
CSTPTY2606003253,PTY,PTY 300/108/TBL/BR/NI/DH/N/1/Z,31537,CSTPOY2606002529,POY,2616,1,1,1.321103,CALCULATED,0.321103
CSTTTY2606000103,TTY,TTY MGT/MIX/BSD/JLT,35670,CSTPTY2606003840,PTY,32184,1,1,1.320658,CALCULATED,0.320658
