mbs_oracle_sys_id,spin_name,mbs_ldr_calculated_pct,mbs_run_ldr_pct,adjustment_yang_diusulkan
202302182,FREDDY GY,1.2500,1.3200,0.0700
202303185,CANINE BL,2.0000,1.9000,-0.1000
202303187,RIO MN,2.5000,2.2500,-0.2500
202303192,SPICY BROWN,2.2500,2.1500,-0.1000
202303194,SISILIA CM,1.5000,1.4600,-0.0400
202303195,JASON GY BR,1.2500,1.3200,0.0700
202303197,RADAR BK,3.0000,3.2200,0.2200
202303199,HONOR GY BR,3.0000,3.2000,0.2000
202303217,SONO CM BR,2.0000,1.9000,-0.1000
202305228,HUESO CM,1.5000,1.4200,-0.0800
202305236,MARI BN,3.0000,2.9000,-0.1000
202305237,SOY YW,1.5000,1.5400,0.0400
202305241,SPINACH GREEN BR,3.4500,2.5300,-0.9200
202305242,AREIA CREAM,2.0300,1.6300,-0.4000
202305243,ARMOR GREY BR,1.2000,1.3800,0.1800
202305245,GRIS GRAY,1.2500,1.0000,-0.2500
202305246,CRENG CREAM BR,1.2300,1.0600,-0.1700
202305249,CODE BN,1.5000,1.5700,0.0700
202305250,ORANGE KAMI,3.0000,2.7500,-0.2500
202305254,KEKAI BN BR,3.1200,3.3000,0.1800
202305256,SURREAL BG,2.5400,1.1000,-1.4400
202305257,RUBY MAROON,2.3000,2.3500,0.0500
202305258,RUBY MAROON BR,2.3000,3.0900,0.7900
202305259,NICOLA BN,1.5000,1.6500,0.1500
202305260,TILE MAROON,2.0000,1.9600,-0.0400
202305263,GARMENT BL,1.5000,1.3700,-0.1300
202305264,LOCK GY,1.5000,1.5900,0.0900
202305265,BALLAD BEIGE,1.0200,1.2710,0.2510
202306272,CIGNON CM BR,1.0000,1.0200,0.0200
202306277,SPLASH,1.5000,1.4500,-0.0500
202306282,HASTIE BL,2.0000,1.8500,-0.1500
202306301,TANK BN,2.3000,2.3700,0.0700
202306306,JANE GY,1.5000,1.6000,0.1000
202306308,CRIB GY,1.5000,1.5500,0.0500
202306309,HONNEY BROWN,0.8300,0.7300,-0.1000
202306310,MOZAIC BROWN,0.8900,0.7760,-0.1140
202306311,COBALT BLUE,3.6500,2.6020,-1.0480
202306316,CODE BN,1.5000,1.3600,-0.1400
202307322,TEAK BROWN BR,3.2000,2.7000,-0.5000
202307325,TYCOON YW,2.0000,1.8000,-0.2000
202307326,SOSIAL GN,1.8000,2.3000,0.5000
202307330,PETER BL,2.5000,2.4400,-0.0600
202307346,PAPRIKA MN,3.1500,3.5000,0.3500
202307347,MOZAIC BROWN BR,0.8900,0.9500,0.0600
202307348,COBALT BLUE BR,3.6500,2.6200,-1.0300
202307350,GRID CREAM BR,1.5000,1.2500,-0.2500
202307352,THOUSAND OG,3.0000,3.5000,0.5000
202307358,ACTUAL  BL,2.7000,2.6200,-0.0800
202307359,PINK BR,1.5000,2.1000,0.6000
202307360,GAZZETE BG BR,1.5000,1.6700,0.1700
202307361,IMPLAN BG BR,1.5000,1.8200,0.3200
202308364,FORCE BN,2.0000,2.0300,0.0300
202308390,AZUKI GN,1.5000,1.0000,-0.5000
202308396,MUSCLE GY-02,1.5000,1.3800,-0.1200
202308404,BULL MN BR,5.0000,5.4000,0.4000
202308405,LEAFA GN,3.0000,3.0900,0.0900
202308409,PORTIMAO GN BR,1.2000,1.2500,0.0500
